Date,Time
2017-02-09,7:30
2017-02-10,7:30
2017-02-12,7:31
2017-02-13,7:21
2017-02-14,7:20
2017-02-16,7:31
2017-02-18,7:20
2017-02-19,8:30
2017-02-20,7:31
2017-02-21,7:30
2017-02-22,7:31
2017-02-23,7:32
2017-02-24,7:30
2017-02-25,7:02
2017-02-26,6:50
2017-02-28,7:25
2017-03-02,7:25
2017-03-07,7:36
2017-03-08,7:36
2017-03-09,7:36
2017-03-11,6:00
2017-03-13,7:27
2017-03-14,7:26
2017-03-15,7:26
2017-03-16,7:26
2017-03-17,7:36
2017-03-18,8:01
2017-03-19,8:12
2017-03-20,7:36
2017-03-21,7:39
2017-03-22,7:36
2017-03-23,7:37
2017-03-24,7:27
2017-03-25,8:12
2017-03-26,7:02
2017-03-27,7:36
2017-03-28,7:35
2017-03-29,7:35
2017-03-30,7:36
2017-03-31,7:36
2017-04-01,7:25
2017-04-05,7:26
2017-04-06,7:30
2017-04-07,7:35
2017-04-08,8:00
2017-04-09,8:01
2017-04-10,7:56
2017-04-11,7:36
2017-04-12,7:36
2017-04-13,7:37
2017-04-14,7:46
2017-04-17,7:37
2017-04-18,7:36
2017-04-19,7:26
2017-04-20,7:36
2017-04-21,7:26
2017-04-22,8:02
2017-04-23,8:00
2017-04-24,7:46
2017-04-25,7:46
2017-04-28,7:46
2017-04-29,8:02
2017-04-30,8:02
2017-05-02,6:01
2017-05-03,7:00
2017-05-04,7:32
2017-05-05,7:11
2017-05-06,8:01
2017-05-07,8:00
2017-05-08,7:26
2017-05-09,7:20
2017-05-10,6:50
2017-05-11,7:01
2017-05-12,6:50